activity,address,mail,name,phone,website
DOMESTIC GAS & INDUSTRIAL, RTE FASCENE NOSY BE   ,,CODIGAZ,(+261) 208 66 12 27 (+261) 208 66 33 09,
DOMESTIC GAS & INDUSTRIAL, BP. 8271 ANTANANARIVO    ,chimie@agrichimad.com,COMPTOIR DE LA CHIMIE,(+261) 202 35 84 94 (+261) 202 32 52 59,www.3dmadagascar.com/cmc    
DOMESTIC GAS & INDUSTRIAL, ANTANIMENA ANTANANARIVO   ,,ECONERGY GAZ,(+261) 202 42 23 69 (+261) 202 22 69 21,
DOMESTIC GAS & INDUSTRIAL," 7, RUE CASTELNEAU ANTSIRANANA   ",,FIBASOM,(+261) 208 22 24 90 (+261) 208 22 24 90,
AUTOMATISM, BP. 4249 ANTANANARIVO 101    ,ted@ted.mg,TED MADAGASCAR,(+261) 20 22 432 62 (+261) 20 22 432 20,
BATTERY & PILES, BP. 12169 ANTANANARIVO   ,ravand@simicro.mg,CHAUMAD,(+261) 20 22 432 25 (+261) 20 22 328 95,
BATTERY & PILES," 1BIS, BEHORIRIKA ANTANANARIVO   ",comptoir.taheri@moov.mg,COMPTOIR TAHERI BEHORIRIKA,(+261) 202 23 12 75 (+261) 202 26 95 94,
BATTERY & PILES," RTE DES HYDROCARBURES, ANKORONDRANO ANTANANARIVO    ",bonjour@continental-auto.mg,CONTINENTAL AUTO,(+261) 34 11 644 41,
BATTERY & PILES, BP. 28 ANTANANARIVO   ,fraise@moov.mg,HENRI FRAISE FILS & C°,(+261) 202 22 27 21 (+261) 202 22 91 23,www.continental-auto.mg    
BATTERY & PILES, MALAVOKY ANTANANARIVO   ,q.2000.mg@moov.mg,QUINCAILLERIE 2000,(+261) 202 23 33 82 (+261) 202 23 02 07,
BATTERY & PILES, RUE RAVONINAHITRINIARIVO ANTANANARIVO   ,,SIPED,(+261) 202 22 14 38,
BATTERY & PILES, BP. 8211 ANTANANARIVO   ,ingenierie@systec.mg,SYSTEC,(+261) 202 24 20 65 (+261) 202 24 34 85,
BATTERY & PILES, ZI MANDROSOA ANTANANARIVO   ,virio@blueline.mg,VIRIO,(+261) 202 24 41 40 (+261) 202 24 47 26,
"VOCATIONAL TRAINING, CENTERS", BP. 746 NIAMEY/NIGER    ,eamacsec@asecna.org,EAMAC,(+261) (227) 20 72 36 62 (+261) (227) 20 72 22 36,
"VOCATIONAL TRAINING, CENTERS", BP. 916 101 ANTANANARIVO    ,aftananarive@alliancefr.mg,ALLIANCE FRANCAISE,(+261) 20 22 211 07,www.eamac.ne    
"VOCATIONAL TRAINING, CENTERS", BP. 639 MAHAJANGA    ,afmajung@alliancefr.mg,ALLIANCE FRANCAISE,(+261) 20 62 225 52,
"VOCATIONAL TRAINING, CENTERS"," LYCEE ANDOHALO, COTE RUE JEAN LABORDE ANTANANARIVO   ",centrepromet@gmail.com,C PROMET,(+261) 34 27 947 22,https://cfmeaft.wixsite.com/accueil    
"VOCATIONAL TRAINING, CENTERS", TANJOMBATO ANTANANARIVO   ,,CABINET PERFORMANCE,(+261) 202 24 65 15 (+261) 202 24 65 15,
"VOCATIONAL TRAINING, CENTERS"," 17, RUE STEFANI ANTANANARIVO   ",,CEMEAM,(+261) 202 22 49 26,https://cfmeaft.wixsite.com/accueil    
"VOCATIONAL TRAINING, CENTERS", BP. 827 ANTANANARIVO   ,rmfcenter@yahoo.com,CENTER RMF,(+261) 202 26 22 21,
"VOCATIONAL TRAINING, CENTERS", RTE TOAMASINA ANTANANARIVO   ,,CENTRE FORMAT. PROF. ANKANDRINA,(+261) 202 27 03 43 (+261) 202 27 03 70,
"VOCATIONAL TRAINING, CENTERS", 78. ISORAKA ANTANANARIVO   ,rmfcenter1@yahoo.com,CENTRE RMF CENTER,(+261) 20 22 622 21,
"VOCATIONAL TRAINING, CENTERS", MAHAZOARIVO ANTSIRABE   ,ravoajanhary@yahoo.fr,CFITC MYSSE,(+261) 34 68 713 40,
TEXTILE, RTE ANTSIRABE ANTANANARIVO   ,,MADAGASCAR SALES,(+261) 202 26 29 78,
TEXTILE," 76, ANDRIAMAROMANANA ANTANANARIVO   ",makicompany@wanadoo.mg,MAKI TEE SHIRT,(+261) 202 22 07 44 (+261) 202 26 25 22,
TEXTILE, RTE TOAMASINA ANTANANARIVO   ,,MALAGASY DE TEXTILE,(+261) 202 26 13 60,
TEXTILE, ILAFY ANTANANARIVO   ,,MIN MAX MADAGASCAR,(+261) 202 24 99 26 (+261) 202 24 99 27,
SCHOOLS & UNIVERSITIES, BP. 746 NIAMEY/NIGER    ,eamacsec@asecna.org,EAMAC,(+261) (227) 20 72 36 62 (+261) (227) 20 72 22 36,
SCHOOLS & UNIVERSITIES, RTE AMBOHIPO ANTANANARIVO   ,iletours@moov.mg,ACADEMIE D'ENSEIGNEMENT MUSICAL,(+261) 202 22 85 66 (+261) 202 22 44 18,www.eamac.ne    
SCHOOLS & UNIVERSITIES, ANKADIVATO ANTANANARIVO   ,,ACEEM,(+261) 202 26 84 50,
SCHOOLS & UNIVERSITIES, ISORAKA ANTANANARIVO   ,,ANDO PATISSERIE & CUISINE,(+261) 202 23 85 64,
SCHOOLS & UNIVERSITIES," 7, RUE RAKOTOMALALA ANTANANARIVO   ",info@mg.auf.org,AUF,(+261) 202 23 18 04 (+261) 202 23 18 15,
ELECTRO-MENAGERÉ," 6, RUE HENRI GARNIER MAJUNGA   ",taporyabasse@hotmail.fr,MAGASIN JVC SHREEJI,(+261) 34 29 299 95,
ELECTRO-MENAGERÉ," 35, AVE INDEPENDANCE ANTANANARIVO   ",,NAZA ELECTRONIC,(+261) 202 22 43 76 (+261) 202 22 43 76,
ELECTRO-MENAGERÉ, LOT IVH 165 BIS AMBOHIMANANDRAY ANTANANARIVO    ,rilah-electrofroid@moov.mg,RILAH ELECTROFROID,(+261) 341 49 70 99,www.froid-clim-elec-madagascar.com    
ELECTRO-MENAGERÉ," 42, AVE INDEPENDANCE ANTANANARIVO   ",sarafi@moov.mg,SARAFI,(+261) 202 23 11 39 (+261) 202 26 22 34,
ELECTRO-MENAGERÉ, BP. 3802 ANTANANARIVO    ,info@satelec-sarl.com,SATELEC,(+261) 202 25 47 61 (+261) 202 22 81 49,
ELECTRO-MENAGERÉ, EX IMMEUBLE SICAM ANTANANARIVO   ,spjgeneral@gmail.com,SPJ GENERAL TRADING,(+261) 33 70 602 04,www.satelec-sarl.com    
ELECTRO-MENAGERÉ, GALERIE ZOOM ANTANANARIVO   ,tanastar@blueline.mg,TANA STAR SAMSUNG,(+261) 202 23 18 54 (+261) 202 23 18 54,
ELECTRO-MENAGERÉ, BP. 930 ANTANANARIVO   ,zzc@compro.mg,Z & Z CENTER,(+261) 202 23 52 26 (+261) 202 22 78 37,
"PRET A CARRIES, LARGE & DETAIL", TANA WATER FRONT ANTANANARIVO   ,envogue5@hotmail.com,EN VOGUE,(+261) 202 26 93 31 (+261) 202 26 93 31,
"PRET A CARRIES, LARGE & DETAIL"," 6, RUE REALLON ANTANANARIVO   ",,ESPACE 110,(+261) 202 26 08 88 (+261) 202 26 08 88,
"PRET A CARRIES, LARGE & DETAIL", RTE MAHAJANGA ANTANANARIVO   ,,FATEXMA,(+261) 202 24 52 00 (+261) 202 24 52 02,www.firozadistribution.com    
"PRET A CARRIES, LARGE & DETAIL"," 4, AVE DANVILLE 94600 CHOISY LE ROI/FRANCE    ",firozadistribution@hotmail.fr,FIROZA,+33 (0) 668 89 19 45,
"PRET A CARRIES, LARGE & DETAIL", BP. 8302 ANTANANARIVO   ,floreal@floreal.mg,FLOREAL MADAGASCAR,(+261) 202 22 28 69 (+261) 202 22 89 24,
"PRET A CARRIES, LARGE & DETAIL"," 17, RUE RATSIMILAHO ANTANANARIVO   ",galeriekanto@yahoo.fr,GALERIE KANTO,(+261) 202 26 27 48 (+261) 202 22 12 71,
RESEARCH CENTERS, BEHORIRIKA ANTANANARIVO   ,,CCIRAD,(+261) 202 22 42 70 (+261) 202 22 42 70,
REMOTE TRAINING CENTERS, IVANDRY ANTANANARIVO   ,seramilay80@gmail.com,ONE,(+261) 32 82 593 90,
HOTEL AND TOURIM TRAINING CENTERS, ANJOZORO EST MANTASOA SIS AU LAC ANTANANARIVO   ,domainedemesas@gmail.com,DOMAINE DE MES AS EDENA MANTASOA,(+261) 34 66 979 65,
"ELECTRICITY, MATERIALS & EQUIPMENTS", ANTANANARIVO    ,schneiderelectric@moov.mg,SCHNEIDER ELECTRIC,(+261) 03 30 76 01 69 (+261) 202 24 05 41,
"ELECTRICITY, MATERIALS & EQUIPMENTS", BP. 12114 ANTANANARIVO   ,tec@moov.mg,TEC,(+261) 202 32 44 60 (+261) 202 32 44 60,www.schneider-electric.com    
"ELECTRICITY, MATERIALS & EQUIPMENTS", RUE MASSIGNON ANTANANARIVO   ,,TEILLET & LABROUSSE,(+261) 202 26 06 12,
"ELECTRICITY, MATERIALS & EQUIPMENTS", LOT C 145 ANDRANOMENA 101 ANTANANARIVO   ,vision.trading@moov.mg,VISION TRADING,(+261) 20 22 488 26,
"PRINTINGS, MATERIALS & EQUIPEMTS", LOT 64E IMERINAFOVOANY TALATAMATY ANTANANARIVO    ,ciblo.mada@gmail.com,CIBLO/IMPRIMERIE MULTISERVICE MADAGASCAR,(+261) 20 22 449 28,
"PRINTINGS, MATERIALS & EQUIPEMTS"," GALERIE 9 TSARALALANA, 3EME ETAGE, FACE CENTRAL HOTEL ANTANANARIVO    ",antananarivo@encreservice.com,ENCRESERVICE TANA,(+261) 34 92 623 84,http://ciblo.e-monsite.com    
"PRINTINGS, MATERIALS & EQUIPEMTS", BP. 672 ANTANANARIVO   ,intergraph@simicro.mg,HEIDELBERG INTERGRAPH MADAGASCAR,(+261) 202 24 67 95 (+261) 202 24 68 96,
"PRINTINGS, MATERIALS & EQUIPEMTS", P.O. BOX 33 ANTANANARIVO   ,modaliamg@gmail.com,MODALIA COMMUNICATION SARLU,(+261) 34 19 631 09,www.orbservice.com    
"PRINTINGS, MATERIALS & EQUIPEMTS", BP. 8117 ANTANANARIVO   ,info@msm-madagascar.mg,MSM,(+261) 202 42 42 54 (+261) 202 26 76 64,
"PRINTINGS, MATERIALS & EQUIPEMTS", BP. 7664 ANTANANARIVO   ,sagatana@moov.mg,SAGA,(+261) 202 26 43 15 (+261) 202 26 43 16,
"PRINTINGS, MATERIALS & EQUIPEMTS", CENTRE COMMERCIAL LA CITY IVANDRY ANTANANARIVO 101    ,contact@sharp.mg,SHARP STORE,(+261) 20 22 422 94,
"PRINTINGS, MATERIALS & EQUIPEMTS"," 16, RUE RADAMA 1 ER ANTANANARIVO   ",,SIPEX FITAOVANA PRINTY,(+261) 202 22 24 82,
"PRINTINGS, MATERIALS & EQUIPEMTS", AMPASAMBAZAHA FINARANTSOA   ,,TITAN,(+261) 207 55 00 95,
TRANSLATORS & INTERPRETES, LOT II C 24 AMPANDRANA ANTANANARIVO   ,lantompc@gmail.com,AGENCE MULTIMEDIA PRAISE CENTER,(+261) 34 95 530 59,
TRANSLATORS & INTERPRETES, LOT II K 50PEA MAHATONY ANTANANARIVO   ,cabinetlh@yahoo.fr,CABINET LH,(+261) 34 31 215 59,
TRANSLATORS & INTERPRETES, 2 T 4 A E BETONGOLO ANTANANARIVO    ,tojomahafaly@yahoo.fr,FREELANCE TRANSLATOR,(+261) 33 86 373 89,
TRANSLATORS & INTERPRETES, BP. 5034 ANTANANARIVO   ,procompta@moov.mg,IBSC,(+261) 202 22 09 48 (+261) 202 22 09 49,www.translatorscafe.com/.../member289148.ht    
TRANSLATORS & INTERPRETES, BP. 6037 ANTANANARIVO   ,lancoms.sr@mel.moov.mg,LANCOMS,(+261) 202 25 97 64 (+261) 202 22 35 77,
TRANSLATORS & INTERPRETES, LOT 3 PH AMPAHIBE ANTANANARIVO    ,lingua.mada@gmail.com,LINGUA MADA,(+261) 34 80 292 11,
TRANSLATORS & INTERPRETES, ANALAMAHITSY TANANA ANTANANARIVO    ,accompagnatoregasy@libero.it,MADAGASCAR LINGUISTIC ASSISTANT,(+261) 32 74 674 70,
TRANSLATORS & INTERPRETES, ANTANINANDRO ANTANANARIVO    ,gabriel@e-fandrai.com,Mc NYH,(+261) 33 41 624 96,http://lingua-mada.e-monsite.com    
TRANSLATORS & INTERPRETES, RUE PATRICE LUMUMBA TSARALALANA ANTANANARIVO    ,hery@rajaonarison.com,RAJAONARISON INTERNATIONAL,(+261) 328 82 89 23,
TRANSLATORS & INTERPRETES, ANOSY ANTANANARIVO   ,bellarm1adv@gmail.com,RAKOTONIRINA BELLARMIN,(+261) 34 20 360 48,www.madagascar-guide-accompagnator.webs.com    
ELECTRICITY GENERAL & INDUSTRIAL, ANTEHIROKA ANTANANARIVO    ,clinicfroid@moov.mg,CLINIC FROID,(+261) 202 20 19 91 (+261) 202 20 00 91,
ELECTRICITY GENERAL & INDUSTRIAL, BESARETY ANTANANARIVO   ,comelec1951@yahoo.fr,COMELEC,(+261) 202 42 54 09 (+261) 202 22 07 04,www.takelaka.wanadoo.mg/clinicfroid    
ELECTRICITY GENERAL & INDUSTRIAL, BP. 7705 ANTANANARIVO    ,cometech@simicro.mg,COMETECH,(+261) 202 22 59 53 (+261) 202 22 59 49,
ELECTRICITY GENERAL & INDUSTRIAL, IVL 2B AMBODIVONIKELY ANTANANARIVO    ,ecaservices@moov.mg,ECASERVICES,(+261) 20 23 237 57 (+261) 20 23 237 57,
ELECTRICITY GENERAL & INDUSTRIAL," 1, RUE DUCROCQ 101 ANTANANARIVO   ",egedec@moov.mg,EGEDEC,(+261) 202 22 12 83 (+261) 202 26 40 14,www.electricite-madagascar.com    
ELECTRICITY GENERAL & INDUSTRIAL, TOAMASINA ANTANANARIVO   ,eifservices@yahoo.com,EIF,(+261) 34 40 081 67,
ELECTRICITY GENERAL & INDUSTRIAL," BUREAU N° 3, IMMEUBLE JACARANDA AMBATONAKANGA ANTANANARIVO   ",eltech.dir@gmail.com,EL TECH,(+261) 33 11 337 08,www.eca-services-madagascar.com    
ELECTRICITY GENERAL & INDUSTRIAL, BP. 8597 ANTANANARIVO   ,elec.plus@simicro.mg,ELECPLUS,(+261) 202 23 83 51 (+261) 202 22 21 54,
ELECTRICITY GENERAL & INDUSTRIAL, ANTANANARIVO   ,maherlla1@moov.mg,GROUPE MAHERLLA,(+261) 202 26 50 26 (+261) 202 26 50 26,
ELECTRICITY GENERAL & INDUSTRIAL, IVANDRY ANTANANARIVO   ,iblagri@moov.mg,IBL MADAGASIKARA,(+261) 202 20 33 76 (+261) 202 20 33 77,
HOTELS, BP. 1479 FINARANTSOA   ,,HOTEL PLAZZA INN,(+261) 207 55 15 72 (+261) 207 55 10 86,
HOTELS, BP. 13 515 ILE STE MARIE    ,bora@moov.mg,HOTEL PRINCESSE BORA,(+261) 205 70 40 03,www.princesse-bora.com    
HOTELS, IFATY TULEAR    ,info@princessedulagon.com,HOTEL PRINCESSE DU LAGON,(+261) 34 98 887 49 (+261) (33) 970 80 55 60,
HOTELS," 22, AVE RAMANATSOA ANTANANARIVO    ",radama@simicro.mg,HOTEL RADAMA,(+261) 202 23 19 27 (+261) 202 23 53 23,http://princessdulagon.com    
HOTELS, ANALAVORY   ,,HOTEL RAKOTONJANAHARY,(+261) 204 88 36 39,
HOTELS, ANTANANARIVO   ,hotelraphia@moov.mg,HOTEL RAPHIA AMBATONAKANGA,(+261) 202 22 53 13,www.radama-hotel.com    
HOTELS, PK 15 BEMOKO DZAMANDZAR NOSY BE    ,resa@ravintsara.mg,HOTEL RAVINTSARA WELLNESS,(+261) 32 07 137 76,
HOTELS, SOAVINIMERINA ANTANANARIVO   ,relais-rova@mel.moov.mg,HOTEL RELAIS DU ROVA,(+261) 202 20 17 17,
HOTELS, BP. 3668 MANTASOA   ,,HOTEL RIVERSIDE,(+261) 204 26 60 85 (+261) 20426 60 85,http://www.ravintsarahotel.com    
HOTELS, SOANIERANA ANTANANARIVO   ,hotelsabirali@yahoo.fr,HOTEL SABIRALI,(+261) 202 26 21 52,
PARABOLIC EQUIPMENT AERIALS, BP. 3243 ANTANANARIVO   ,appel@moov.mg,APPEL,(+261) 202 22 54 16 (+261) 202 23 27 91,
PARABOLIC EQUIPMENT AERIALS, AMBOHIJATOVO ANTANANARIVO    ,rtps@parabolemadagascar.com,PARABOLE MADAGASCAR TPS,(+261) 202 22 61 61 (+261) 202 26 18 10,
PARABOLIC EQUIPMENT AERIALS, BP. 3802 ANTANANARIVO    ,info@satelec-sarl.com,SATELEC,(+261) 202 25 47 61 (+261) 202 22 81 49,www.parabolemadagascar.com    
DOMESTIC GAS & INDUSTRIAL, SAMBAVA   ,,RAMANANDRAIBE,(+261) 208 89 20 65 (+261) 208 89 22 48,
PRINTING WORKS, BESARETY ANTANANARIVO   ,impahm@yahoo.fr,AHM,(+261) 202 45 20 93,
PRINTING WORKS, ITAOSY ANTANANARIVO   ,alnoprint@moov.mg,ALNOPRINT,(+261) 202 22 08 46,
PRINTING WORKS, BP. 3839 ANTANANARIVO   ,kangourou@moov.mg,BOB,(+261) 202 24 67 16 (+261) 202 24 67 16,
PRINTING WORKS," 129, AVE VLADIMIR ANTANANARIVO   ",,CATHOLIQUE,(+261) 202 22 23 04,
"NEW TECHNOLOGIES, CONSULTANTS", LOT II E 81 GHP TSARAHONENANA ANTANANARIVO    ,contact@vinatech-mada.com,VINATECH,(+261) 34 07 902 52,
PRINTING WORKS," 96, AMBOHINAMBO ANTANANARIVO   ",,DAYNES DANIEL,(+261) 202 24 80 99 (+261) 202 24 80 99,
PRINTING WORKS," 32, RUE RAFINRIGA ANTANANARIVO   ",imscar@moov.mg,DE MADAGASCAR,(+261) 202 22 00 83 (+261) 202 23 33 10,
PRINTING WORKS, BP. 278 ANTANANARIVO   ,decodif@moov.com,DECODIF,(+261) 202 42 64 32 (+261) 202 22 42 18,www.apma-mg.com    
PRINTING WORKS, BP. 4452 ANTANANARIVO    ,digiprint@apma.mg,DIGIPRINT,(+261) 202 23 76 69 (+261) 202 23 76 70,
OFFICE AUTOMATION, BP. 4452 ANTANANARIVO    ,apma@apma.mg,APMA,(+261) 202 22 58 12 (+261) 202 23 39 33,
OFFICE AUTOMATION," 5, AVE LENINE ANTANANARIVO   ",biznet@moov.mg,BIZNET,(+261) 202 26 01 66 (+261) 202 26 35 58,www.apma-mg.com    
OFFICE AUTOMATION," 15BIS, RUE LUMUMBA ANTANANARIVO   ",blanbir@moov.mg,BLANCHE BIRGER,(+261) 202 22 28 02 (+261) 202 22 79 01,
OFFICE AUTOMATION, BP. 178 ANTANANARIVO   ,boi@moov.mg,BOI,(+261) 202 24 58 08 (+261) 202 24 57 68,
OFFICE AUTOMATION, CENTRE COMMERCIAL PRISME ANTANANARIVO   ,bucomad@moov.mg,BUCOMAD,(+261) 202 26 03 96 (+261) 202 26 95 94,
OFFICE AUTOMATION, CENTRE TOLIARY   ,,BUSINESS SERVICE,(+261) 209 44 39 42 (+261) 209 44 39 42,
OFFICE AUTOMATION, BP. 926 ANTANANARIVO   ,cbl@cbl.mg,CBL REPRO MADA,(+261) 202 23 41 71 (+261) 202 26 22 23,
"VOCATIONAL TRAINING, CENTERS", BP. 471 MAHAJANGA   ,cfp-omega@moov.mg,CFP OMEGA,(+261) 206 22 45 15,
"VOCATIONAL TRAINING, CENTERS", BP. 309 ANTSIRABE   ,socoa@moov.mg,CFR,(+261) 03 04 48 62 57,
"VOCATIONAL TRAINING, CENTERS", TSARALALANA ANTANANARIVO   ,cfrh@yahoo.fr,CFRH,(+261) 202 45 77 91,
"VOCATIONAL TRAINING, CENTERS", BP. 5103 ANTANANARIVO    ,cfsige@moov.mg,CFSIGE,(+261) 202 24 08 57 (+261) 202 24 08 57,
"VOCATIONAL TRAINING, CENTERS", IMMEUBLE CITY CENTER ANALAKELY P 402 ANTANANARIVO   ,cfsm_env@yahoo.fr,CFSME,(+261) 32 98 108 38,www.cfsige.mg    
"VOCATIONAL TRAINING, CENTERS", BP. 74 ANTANANARIVO    ,cite@cite.mg,CITE,(+261) 202 22 53 86 (+261) 202 23 36 69,
"VOCATIONAL TRAINING, CENTERS"," LOT II I ANOS MORARANO, ALAROBIA ANTANANARIVO    ",com@dtc.mg,DRIVER TRAINING CENTER,(+261) 03 20 53 16 16,
"VOCATIONAL TRAINING, CENTERS", RTE DE L'UNIVERSITE D'ANTANANARIVO ANTANANARIVO    ,wm.devy@gmail.com,EDUMAKIN-MG.NET,(+261) 32 41 278 46,www.cite.mg    
"VOCATIONAL TRAINING, CENTERS", MAHAJANGA   ,emth@moov.mg,EMTH,(+261) 206 20 23 98,
"VOCATIONAL TRAINING, CENTERS", ANALAMAHITSY ANTANANARIVO   ,,EPCT,(+261) 202 24 08 42,www.dtc.mg    
SCHOOLS & UNIVERSITIES, RTE HOPITAL MILITAIRE ANTANANARIVO   ,hibiscuistnr@yahoo.fr,COLLEGE HIBISCUIS,(+261) 202 22 02 09 (+261) 202 22 73 63,
SCHOOLS & UNIVERSITIES, TALATAMATY ANTANANARIVO   ,lalumiere@moov.mg,COLLEGE LA LUMIERE INTER.,(+261) 202 24 41 68 (+261) 202 24 41 66,
SCHOOLS & UNIVERSITIES, AMBOHIDAHY ANTANANARIVO   ,,COLLEGE SAINT MICHEL,(+261) 202 23 07 24,
SCHOOLS & UNIVERSITIES, BEHORIRIKA ANTANANARIVO   ,,COURS DAKTIGRAFZ,(+261) 202 22 53 46 (+261) 202 22 53 46,
SCHOOLS & UNIVERSITIES, BP. 41 ANTANANARIVO   ,cndc.sdb@moov.mg,DONBOSCO,(+261) 202 24 40 73,http://facebook.com/kolonga.mg    
SCHOOLS & UNIVERSITIES, ANJOHY ANTANANARIVO   ,,ECOLE ESTHETIQUE HAUT GAMME,(+261) 202 22 29 46,
TEXTILE," 24, RUE AMPANJAKA, TOERA ANTANIMENA ANTANANARIVO   ",textile@moov.mg,ROVA,(+261) 034 20 033 23,
TEXTILE," 15, RUE KARIJA ANTANANARIVO   ",saditex@moov.mg,SADITEX,(+261) 202 22 57 07,
TEXTILE, RTE ANTSIRABE ANTANANARIVO   ,samaf@moov.mg,SAMAF,(+261) 202 24 62 95 (+261) 202 24 65 43,
TEXTILE, GALERIE ZOOM ANTANANARIVO   ,samourai@moov.mg,SAMOURAI,(+261) 202 22 59 23,
TEXTILE, BP. 4164 ANTANANARIVO    ,somacou@moov.mg,SOMACOU,(+261) 202 24 24 82 (+261) 202 24 24 86,
TEXTILE, ANTANANARIVO   ,,TANACREX,(+261) 202 24 41 35 (+261) 202 24 41 45,www.somacou.com    
TEXTILE, LOT IT 69 TER A ITAOSY ANTANANARIVO   ,andryandriatsilavo@gmail.com,TIATAFY CONFECTION TAILLEUR,(+261) 33 12 548 88,
TEXTILE, BP. 3298 101 ANTANANARIVO    ,f.wybo@ultramaille.mg,ULTRAMAILLE,(+261) 202 24 38 15 (+261) 202 24 38 14,
TEXTILE," 17, RUE MAHAFAKA ANTANANARIVO   ",shahdinesh@moov.mg,UTEXMA,(+261) 202 42 00 93 (+261) 202 26 87 52,www.ultramaille.com    
TEXTILE, BP. 8498 ANTANANARIVO   ,wkm@moov.mg,WKM,(+261) 202 24 56 01 (+261) 202 24 56 06,
"PRET A CARRIES, LARGE & DETAIL", BP. 5282 ANTANANARIVO   ,intermad@moov.mg,INTERMAD,(+261) 202 22 97 66 (+261) 202 22 97 49,
"PRET A CARRIES, LARGE & DETAIL", IVATO ANTANANARIVO   ,,JBA PRODUCTION,(+261) 202 24 54 80,
"PRET A CARRIES, LARGE & DETAIL", AMBOHIBAO ANTANANARIVO   ,,KALOES,(+261) 202 24 82 21,
"PRET A CARRIES, LARGE & DETAIL"," 10, RUE RATSIMILAHO ANTANANARIVO   ",tshkameleon@netclub.mg,KAMELEON,(+261) 202 26 92 60 (+261) 202 26 24 31,
"PRET A CARRIES, LARGE & DETAIL"," LOT IB 96 BIS ISARAKA, FACE LA BOUSSOLE ANTANANARIVO   ",kokolokoboutique@gmail.com,KOKO LOCO,(+261) 32 41 201 33,
"PRET A CARRIES, LARGE & DETAIL"," 22, RUE DE RUSSIE ANTANANARIVO   ",sssolo@mac.com,LA SOBIKA,(+261) 202 22 82 65 (+261) 202 26 37 90,www.cmt-intl.com    
MAILS EXPRESS TRAIN, BESARELY ANTANANARIVO   ,,CAP SUD EXPORT,(+261) 202 26 14 77,
MAILS EXPRESS TRAIN, ANTSAHAVOLA ANTANANARIVO   ,,CITY EXPRESS,(+261) 202 23 01 43,www.dhl.com.mg    
MAILS EXPRESS TRAIN, AMPASAMADINIKA ANTANANARIVO   ,,COLIS EXPRESS,(+261) 202 26 23 05,
"INTERNET, WEB DESIGN", ANDOHANIATO ANTANANARIVO    ,contact@andrianthic.com,ANDRIANTHIC,(+261) 34 11 005 01,
"INTERNET, WEB DESIGN", LOT II 43 AL AMBOHIDAHY ANKADINDRAMAMY ANTANANARIVO    ,contact@boxart-madagascar.com,BOX'ART STUDIO,(+261) 34 11 664 21,www.andrianthic.com    
"INTERNET, WEB DESIGN", LOT II G 19 FARAVOHITRA ANTANANARIVO    ,e-fandrai@e-fandrai.com,E FANDRAI,(+261) 33 41 624 96 (+261) 34 07 624 96,
"INTERNET, WEB DESIGN", II M 92 ANTSAKAVIRO ANTANANARIVO    ,contact@enovdesign.com,E NOV CONSULTING,(+261) 34 62 677 64,http://boxart-madagascar.com    
"INTERNET, WEB DESIGN", ANALAMAHITSY ANTANANARIVO 101    ,rinarama2306@gmail.com,MAKI AGENCY,(+261) 32 11 123 45,
"INTERNET, WEB DESIGN", ANDORARANOFOTSY ANTANANARIVO    ,contact@mity-agency.com,MITY AGENCY,(+261) 34 81 379 13,www.e-fandrai.com    
"INTERNET, WEB DESIGN", AMBOHIPO ANTANANARIVO    ,seegraphic.madagascar@gmail.com,SEEGRAPHIC,(+261) 34 11 005 01,
NEW TECHNOLOGIES, MULTIPLEX ANDROHIBE BOX 11 ANTANANARIVO    ,contactatea@moov.mg,ADVANCED TECHNOLOGY APPLICATION,(+261) 34 64 249 64,
NEW TECHNOLOGIES," 24, RUE AMIRAL BILLARD BAZAR BE TAMATAVE    ",computektoamasina@gmail.com,COMPUTEK TECHNOLOGY,(+261) 20 53 345 17,www.ateamada.com    
NEW TECHNOLOGIES, EXPLORER BUSINESS PARK BUILDING A 1ANKORONDRANO ANTANANARIVO    ,contact@iconegroup.mg,ICONE,(+261) 33 62 271 60,
NEW TECHNOLOGIES, B 325 ANATIHAZO ANTANANARIVO    ,mykandra@moov.mg,MYKANDRA,(+261) 34 74 472 03,www.computek.mg    
"INTERNET, PROVIDER"," 41, AVE LENINE ANTANANARIVO    ",info@blueline.mg,BLUELINE,(+261) 202 26 18 29 (+261) 202 26 28 92,
"INTERNET, PROVIDER", ANTSIRANANA    ,contact@cyber-diego.com,CYBER DIEGO,(+261) 208 22 28 61 (+261) 208 22 28 64,www.blueline.mg    
"INTERNET, PROVIDER", BP. 4095 ANTANANARIVO    ,dts@dts.mg,DATA TELECOM SERVICE,(+261) 202 22 03 59 (+261) 202 22 03 60,
"INTERNET, PROVIDER", AVE ANDRIANAMPOINIMERINA ANTANANARIVO   ,logidis@logidis.mg,LOGIDIS,(+261) 202 26 19 01 (+261) 202 26 19 13,www.cyber-diego.com    
"INTERNET, PROVIDER", BP. 3557 ANTANANARIVO   ,netclub@netclub.mg,NETCLUB,(+261) 202 26 48 83 (+261) 202 23 25 18,
"INTERNET, PROVIDER", BP. 7754 ANTANANARIVO    ,contact@orange.mg,ORANGE MADAGASCAR,(+261) 202 26 09 53 (+261) 202 26 09 55,www.dts.mg    
"INTERNET, PROVIDER"," 14, RUE LAFAYETTE ANTSIRANANA   ",,ORANGE MADAGASCAR,(+261) 208 22 29 45 (+261) 208 22 29 45,
